"Donor","Donor_Name","HOMO/D","LUMO/D","Acceptor","Acceptor_Name","HOMO/A","LUMO/A","Voc","Jsc","FF","PCE","reference"
"CCCCCCC(CCCC)CC1=C(C)SC(C2=CC3=C(S2)C2=C(C=C(C4=CC(CC(CCCC)CCCCCC)=C(C5=CC6=C(C7=CC=C(CC(CC)CCCC)S7)C7=C(C=C(C)S7)C(C7=CC=C(CC(CC)CCCC)S7)=C6S5)S4)S2)C2=NSN=C23)=C1","D18","-5.51","-2.77","CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC","Y6","-5.65","-4.11","0.859","27.7","0.766","18.22","Q. Liu, Y. Jiang, K. Jin, J. Qin, J. Xu, W. Li, J. Xiong, J. Liu, Z. Xiao, K. Sun, S. Yang, X. Zhang, L. Ding, 18% Efficiency organic solar cells. Science Bulletin. 65, 272–275 (2020)."
"CCCCCCC(CCCC)CC1=C(C)SC(C2=CC3=C(S2)C2=C(C=C(C4=CC(CC(CCCC)CCCCCC)=C(C5=CC6=C(C7=CC=C(CC(CC)CCCC)S7)C7=C(C=C(C)S7)C(C7=CC=C(CC(CC)CCCC)S7)=C6S5)S4)S2)C(=O)S3)=C1","D16","-5.48","-2.83","CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC","Y6","-5.65","-4.11","0.85","25.41","0.749","16.72","Q. Liu, Y. Jiang, K. Jin, J. Qin, J. Xu, W. Li, J. Xiong, J. Liu, Z. Xiao, K. Sun, S. Yang, X. Zhang, L. Ding, 18% Efficiency organic solar cells. Science Bulletin. 65, 272–275 (2020)."
"CCCCC(CC)CC1=C(F)C=C(C2=C3C=C(C4=CC=C(C5=C6C(=O)C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C(=O)C6=C(C6=CC=C(C)S6)S5)S4)SC3=C(C3=CC(F)=C(CC(CC)CCCC)S3)C3=C2SC(C)=C3)S1","PM6","-5.45","-3.64","CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)[Se]C2=C1[Se]C1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1[Se]C1=C2[Se]C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC","BTP-4Se","-5.62","-3.88","0.819","25.11","0.7357","15.13","L. Meng, H. Liang, G. Song, M. Li, Y. Huang, C. Jiang, K. Zhang, F. Huang, Z. Yao, C. Li, X. Wan, Y. Chen, Tandem organic solar cells with efficiency over 19% via the careful subcell design and optimization. Sci. China Chem. (2023), doi:10.1007/s11426-022-1479-x."
"CCCCCCC(CCCC)CC1=C(C)SC(C2=CC3=C(S2)C2=C(C=C(C4=CC(CC(CCCC)CCCCCC)=C(C5=CC6=C(C7=CC=C(CC(CC)CCCC)S7)C7=C(C=C(C)S7)C(C7=CC=C(CC(CC)CCCC)S7)=C6S5)S4)S2)C2=NSN=C23)=C1","D18","-5.51","-3.77","CCCCCCCCC1(CCCCCCCC)C2=CC3=C(C=C2C2=C1C=C1C(=C2)C(CCCCCCCC)(CCCCCCCC)C2=C1SC(/C=C1\C(=O)C4=C(C=C(Cl)S4)C1=C(C#N)C#N)=C2Br)C(CCCCCCCC)(CCCCCCCC)C1=C3SC(/C=C2\C(=O)C3=C(C=C(Cl)S3)C2=C(C#N)C#N)=C1Br","FBr-ThCl","-5.84","-3.78","1.053","15.33","0.7881","12.72","L. Meng, H. Liang, G. Song, M. Li, Y. Huang, C. Jiang, K. Zhang, F. Huang, Z. Yao, C. Li, X. Wan, Y. Chen, Tandem organic solar cells with efficiency over 19% via the careful subcell design and optimization. Sci. China Chem. (2023), doi:10.1007/s11426-022-1479-x."
"CCCCC(CC)CC1=C(F)C=C(C2=C3C=C(C4=CC=C(C5=C6C(=O)C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C(=O)C6=C(C6=CC=C(C)S6)S5)S4)SC3=C(C3=CC(F)=C(CC(CC)CCCC)S3)C3=C2SC(C)=C3)S1","PM6","-5.45","-3.64","CCCCCCCCC(CCCCCC)COC1=C(C2=CC3=C(S2)B(C2=CC=CC=C2)C2=C(C=C(C4=C(OCC(CCCCCC)CCCCCCCC)C=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S4)S2)N3CC(CCCC)CCCCCC)SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1","ABBT-BO","-5.71","-3.97","0.9","16.41","0.6816","10.02","S. Chen, M. Dong, Y. Bai, Y. Chen, Y. Fu, L. Shao, X. Lu, C. Liu, K. Zhang, H. Wu, F. Huang, 1,4-Azaborine based unfused non-fullerene acceptors for organic solar cells. J. Mater. Chem. A (2023), doi:10.1039/D2TA09188G."
"CCCCC(CC)CC1=C(F)C=C(C2=C3C=C(C4=CC=C(C5=C6C(=O)C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C(=O)C6=C(C6=CC=C(C)S6)S5)S4)SC3=C(C3=CC(F)=C(CC(CC)CCCC)S3)C3=C2SC(C)=C3)S1","PM6","-5.45","-3.64","CCCCCCCCCCCCC(CCCCCCCCCC)CN1C2=C(SC(C3=C(OCC(CCCCCC)CCCCCCCC)C=C(/C=C4\C(=O)C5=C(C=C(F)C(F)=C5)C4=C(C#N)C#N)S3)=C2)B(C2=CC=CC=C2)C2=C1C=C(C1=C(OCC(CCCCCC)CCCCCCCC)C=C(/C=C3\C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)S1)S2","ABBT-DT","-5.72","-3.97","0.905","12.29","0.5611","6.15","S. Chen, M. Dong, Y. Bai, Y. Chen, Y. Fu, L. Shao, X. Lu, C. Liu, K. Zhang, H. Wu, F. Huang, 1,4-Azaborine based unfused non-fullerene acceptors for organic solar cells. J. Mater. Chem. A (2023), doi:10.1039/D2TA09188G."
"CCCCC(CC)CC1=C(F)C=C(C2=C3C=C(C4=CC=C(C5=C6C(=O)C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C(=O)C6=C(C6=CC=C(C)S6)S5)S4)SC3=C(C3=CC(F)=C(CC(CC)CCCC)S3)C3=C2SC(C)=C3)S1","PM6","-5.45","-3.64","CCCCCCCCCCCCC(CCCCCCCCCC)CN1C2=C(SC3=C2SC(/C=C2\C(=O)C4=C(C=C(F)C(F)=C4)C2=C(C#N)C#N)=C3CCCCCCCCCCC)C2=C1C1=C(C3=NC4=C(C=C(F)C(F)=C4)N=C32)C2=C(C3=C(S2)C(CCCCCCCCCCC)=C(/C=C2\CC4=C(C=C(F)C(F)=C4)C2=C(C#N)C#N)S3)N1CC(CCCCCCCCCC)CCCCCCCCCCCC","CH7","-5.74","-3.75","0.884","24.95","0.7497","16.44","S. Zhang, H. Chen, P. Wang, S. Li, Z. Li, Y. Huang, J. Liu, Z. Yao, C. Li, X. Wan, Y. Chen, A Large Area Organic Solar Module with Non-Halogen Solvent Treatment, High Efficiency, and Decent Stability. Solar RRL. n/a, 2300029."
"CCCCC(CC)CC1=C(F)C=C(C2=C3C=C(C4=CC=C(C5=C6C(=O)C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C(=O)C6=C(C6=CC=C(C)S6)S5)S4)SC3=C(C3=CC(F)=C(CC(CC)CCCC)S3)C3=C2SC(C)=C3)S1","PM6","-5.45","-3.64","CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)[Se]C2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)=C1CCCCCCCCC","AYT9Se11-Cl","-5.68","-3.88","0.843","27.4","0.7843","18.12","X. Zhao, Q. An, H. Zhang, C. Yang, A. Mahmood, M. Jiang, M. H. Jee, B. Fu, S. Tian, H. Y. Woo, Y. Wang, J.-L. Wang, Double Asymmetric Core Optimizes Crystal Packing to Enable Selenophene-based Acceptor with Over 18 % Efficiency in Binary Organic Solar Cells. Angewandte Chemie International Edition. n/a, e202216340."
"CCCCC(CC)CC1=C(F)C=C(C2=C3C=C(C4=CC=C(C5=C6C(=O)C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C(=O)C6=C(C6=CC=C(C)S6)S5)S4)SC3=C(C3=CC(F)=C(CC(CC)CCCC)S3)C3=C2SC(C)=C3)S1","PM6","-5.45","-3.64","CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2[Se]C(/C=C2\C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)=C1CCCCCCCCC","AYT11Se9-Cl","-5.69","-3.89","0.842","26.86","0.7747","17.52","X. Zhao, Q. An, H. Zhang, C. Yang, A. Mahmood, M. Jiang, M. H. Jee, B. Fu, S. Tian, H. Y. Woo, Y. Wang, J.-L. Wang, Double Asymmetric Core Optimizes Crystal Packing to Enable Selenophene-based Acceptor with Over 18 % Efficiency in Binary Organic Solar Cells. Angewandte Chemie International Edition. n/a, e202216340."
"CCCCC(CC)COC(=O)C1=C(F)C2=C(C)SC(C3=CC4=C(C5=CC=C(CC(CC)CCCC)S5)C5=C(C=C(C)S5)C(C5=CC=C(CC(CC)CCCC)S5)=C4S3)=C2S1","PTB7-Th","-5.22","-3.64","CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC(C4=CC=C(/C=C5\C(=O)C6=CC(F)=C(F)C=C6C5=C(C#N)C#N)S4)=CC4=C3N3C5=C2C=C(C2=CC=C(/C=C6\C(=O)C7=CC(F)=C(F)C=C7C6=C(C#N)C#N)S2)C=C5C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C3C(=CC(C3=CC=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S3)=C2)C4(C2=CC=C(CCCCCC)C=C2)C2=CC=C(CCCCCC)C=C2)C=C1","AzaTk","-5.3","-4.2","0.78","14.09","0.5833","6.46","Y. Kervella, J. M. A. Castán, Y. A. Avalos-Quiroz, A. Khodr, Q. Eynaud, T. Koganezawa, N. Yoshimoto, O. Margeat, A. Rivaton, A. J. Riquelme, V. M. Mwalukuku, J. Pécaut, B. Grévin, C. Videlot-Ackermann, J. Ackermann, R. Demadrille, C. Aumaître, Star-shape non-fullerene acceptor featuring an aza-triangulene core for organic solar cells. J. Mater. Chem. C (2023), doi:10.1039/D2TC05424H."
