donor,Name,acceptor,Name,Homo,lumo,Voc,JSC,FF,PCE,Ref.
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=CC(C4=CC=C(C5=CC6=C(C=C5)C(=C(C#N)C#N)/C(=C/C5=C(CCCCCCCCCCC)C7=C(S5)C5=C(S7)C7=C(C8=C(C9=NSN=C97)C7=C(C9=C(S7)C(CCCCCCCCCCC)=C(/C=C7\C(=O)C%10=C(C=C(F)C(F)=C%10)C7=C(C#N)C#N)S9)N8CC(CCCCCCCC)CCCCCCCCCC)N5CC(CCCCCCCC)CCCCCCCCCC)C6=O)S4)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCCCCCC)CCCCCCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCCCCCC)CCCCCCCCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,QM1,-5.67,-3.96,0.91,25.23,74.01,17.05,"W. Feng, Y. Bai, J. Wang, Y. Zhong, J. Wang, T. Chen, J. Zhang, K. Han, X. Wan, B. Kan, Y. Chen, Rational Design of Two Well-Compatible Dimeric Acceptors Through Regulating Chalcogen-Substituted Conjugated Backbone Enable Ternary Organic Solar Cells with 19.4% Efficiency. Adv. Energy Mater. 2024, 2404062. https://doi.org/10.1002/aenm.202404062"
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=CC(C4=C(F)C(F)=C(C5=CC6=C(C=C5)C(=C(C#N)C#N)/C(=C/C5=C(CCCCCCCCCCC)C7=C(S5)C5=C(S7)C7=C(C8=C(C9=NSN=C97)C7=C(C9=C(S7)C(CCCCCCCCCCC)=C(/C=C7\C(=O)C%10=C(C=C(F)C(F)=C%10)C7=C(C#N)C#N)S9)N8CC(CCCCCCCC)CCCCCCCCCC)N5CC(CCCCCCCC)CCCCCCCCCC)C6=O)S4)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCCCCCC)CCCCCCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCCCCCC)CCCCCCCCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,QM2,-5.67,-3.94,0.91,25.42,70.5,16.36,"Liu, W., Yuan, J., Zhu, C. et al. A-¦°-A structured non-fullerene acceptors for stable organic solar cells with efficiency over 17%. Sci. China Chem. 65, 1374-1382 (2022). https://doi.org/10.1007/s11426-022-1281-0"
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=CC(C4=CC=C(C5=CC=C(C6=CC7=C(C=C6)C(=C(C#N)C#N)/C(=C/C6=C(CCCCCCCCCCC)C8=C(S6)C6=C(S8)C8=C(C9=C(C%10=NSN=C%108)C8=C(C%10=C(S8)C(CCCCCCCCCCC)=C(/C=C8\C(=O)C%11=C(C=C(F)C(F)=C%11)C8=C(C#N)C#N)S%10)N9CC(CCCCCCCC)CCCCCCCCCC)N6CC(CCCCCCCC)CCCCCCCCCC)C7=O)S5)S4)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCCCCCC)CCCCCCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCCCCCC)CCCCCCCCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,QM-2T,-5.68,-3.86,0.94,25.75,73.8,17.86,"HE S, XIANG C, LIU W, et al. A-¦°-A type quasi-macromolecular acceptors with molecular conjugation length control strategy for high-performance organic solar cells [J]. Journal of Materials Chemistry A, 2024, 12(45): 31581-31588."
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=CC(C4=CC=C(C5=CC=C(C6=CC=C(C7=CC8=C(C=C7)C(=C(C#N)C#N)/C(=C/C7=C(CCCCCCCCCCC)C9=C(S7)C7=C(S9)C9=C(C%10=C(C%11=NSN=C%119)C9=C(C%11=C(S9)C(CCCCCCCCCCC)=C(/C=C9\C(=O)C%12=C(C=C(F)C(F)=C%12)C9=C(C#N)C#N)S%11)N%10CC(CCCCCCCC)CCCCCCCCCC)N7CC(CCCCCCCC)CCCCCCCCCC)C8=O)S6)S5)S4)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCCCCCC)CCCCCCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCCCCCC)CCCCCCCCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,QM-3T,-5.68,-3.75,0.94,23.04,59.9,12.96,"HE S, XIANG C, LIU W, et al. A-¦°-A type quasi-macromolecular acceptors with molecular conjugation length control strategy for high-performance organic solar cells [J]. Journal of Materials Chemistry A, 2024, 12(45): 31581-31588."
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCCCC(CCCCCCCC)CN1C2=C(SC3=C2SC(/C=C2\C(=O)C4=C(C=CC(C5=CC=C(C6=CC7=C(C=C6)C(=C(C#N)C#N)/C(=C/C6=C(CC(CCCC)CCCCCC)C8=C(S6)C6=C(S8)C8=C(C9=C(C%10=NSN=C%108)C8=C(C%10=C(S8)C(CC(CCCC)CCCCCC)=C(/C=C8\C(=O)C%11=C(C=C(F)C(F)=C%11)C8=C(C#N)C#N)S%10)N9CC(CCCCCCCC)CCCCCCCCCC)N6CC(CCCCCCCC)CCCCCCCCCC)C7=O)S5)=C4)C2=C(C#N)C#N)=C3CC(CCCC)CCCCCC)C2=C1C1=C(C3=NSN=C32)C2=C(C3=C(S2)C(CC(CCCC)CCCCCC)=C(/C=C2\C(=O)C4=C(C=C(F)C(F)=C4)C2=C(C#N)C#N)S3)N1CC(CCCCCCCC)CCCCCCCCCC,DBT,-5.71,-3.79,0.95,24.12,72.39,16.53,"LIU W, XU X, HE S, et al. Three-Arm Star-Shaped Acceptor Enables Organic Solar Cell over 18% Efficiency [J]. Macromolecules, 2023, 56(21): 8623-8631."
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCCCC(CN1C2=C(C3=C1C4=C(C5=C(N4CC(CCCCCCCCCC)CCCCCCCC)C6=C(C(CC(CCCCCC)CCCC)=C(S6)/C=C7C(C8=C(C\7=C(C#N)/C#N)C=C(C(F)=C8)F)=O)S5)C9=NSN=C93)SC%10=C2SC(/C=C%11C(C%12=C(C\%11=C(C#N)/C#N)C=CC(C%13=CC(C%14=C(C%15=C%16C=C(S%15)C%17=CC%18=C(C(/C(C%18=O)=C/C%19=C(C%20=C(C%21=C(C%22=C(N%21CC(CCCCCCCCCC)CCCCCCCC)C%23=C(C%24=C(N%23CC(CCCCCCCCCC)CCCCCCCC)C%25=C(C(CC(CCCCCC)CCCC)=C(S%25)/C=C%26C(C%27=C(C\%26=C(C#N)/C#N)C=C(C(F)=C%27)F)=O)S%24)C%28=NSN=C%28%22)S%20)S%19)CC(CCCCCC)CCCC)=C(C#N)\C#N)C=C%17)C=C(S%14)C%29=CC%30=C(C(/C(C%30=O)=C/C%31=C(C%32=C(C%33=C(C%34=C(N%33CC(CCCCCCCCCC)CCCCCCCC)C%35=C(C%36=C(N%35CC(CCCCCCCCCC)CCCCCCCC)C%37=C(C(CC(CCCCCC)CCCC)=C(S%37)/C=C%38C(C%39=C(C\%38=C(C#N)\C#N)C=C(C(F)=C%39)F)=O)S%36)C%40=NSN=C%40%34)S%32)S%31)CC(CCCCCC)CCCC)=C(C#N)/C#N)C=C%29)=C%16S%13)=C%12)=O)=C%10CC(CCCCCC)CCCC)CCCCCCCC,TBT,-5.7,-3.79,0.94,24.63,78.07,18.04,"LIU W, XU X, HE S, et al. Three-Arm Star-Shaped Acceptor Enables Organic Solar Cell over 18% Efficiency [J]. Macromolecules, 2023, 56(21): 8623-8631."
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,BrC1=CC(C2=O)=C(C(/C2=C/C(S3)=C(CCCCCCCCCCC)C(S4)=C3C(N5CC(CCCCCCCCCC)CCCCCCCC)=C4C6=C5C(N7CC(CCCCCCCC)CCCCCCCCCC)=C(C(N8)=C7C(S9)=C8C(CCCCCCCCCCC)=C9/C=C%10C(C(C=C(C=C%11)C%12=CC=C(C%13=CC=C(C(C=C%14)=CC(C(C/%15=C\C%16=C(CCCCCCCCCCC)C%17=C(C%18=C(S%17)C%19=C(N%18CC(CCCCCCCC)CCCCCCCCCC)C%20=C(C%21=NSN=C%21%19)C%22=C(C%23=C(S%22)C(CCCCCCCCCCC)=C(S%23)/C=C%24/C(C%25=C(C%24=O)C=C(Br)C=C%25)=C(C#N)/C#N)N%20CC(CCCCCCCC)CCCCCCCCCC)S%16)=O)=C%14C%15=C(C#N)\C#N)S%13)S%12)=C%11C\%10=C(C#N)\C#N)=O)C%26=NSN=C6%26)=C(C#N)\C#N)C=C1,OY2,,,0.837,24.37,71.79,14.69,"Liang, Y., Zhang, D., Wu, Z. et al. Organic solar cells using oligomer acceptors for improved stability and efficiency. Nat Energy 7, 1180-1190 (2022). https://doi.org/10.1038/s41560-022-01155-x"
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=CC(C4=CC=C(C5=CC6=C(C=C5)C(=C(C#N)C#N)/C(=C/C5=C(CCCCCCCCCCC)C7=C(S5)C5=C(S7)C7=C(C8=C(C9=NSN=C97)C7=C(C9=C(S7)C(CCCCCCCCCCC)=C(/C=C7\C(=O)C%10=C(C=C(F)C(F)=C%10)C7=C(C#N)C#N)S9)N8CC(CCCCCC)CCCCCCCC)N5CC(CCCCCC)CCCCCCCC)C6=O)S4)=C3)C2=C(C#N)C#N)SC2=C1NC1=C2N(CC(CCCCCC)CCCCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCCCC)CCCCCCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,2BTP-2F-T,,,0.911,25.5,78.28,18.19,"L. Zhang, Z. Zhang, D. Deng, H. Zhou, J. Zhang, Z. Wei, ¡ùN-¦°-N¡ì Type Oligomeric Acceptor Achieves an OPV Efficiency of 18.19% with Low Energy Loss and Excellent Stability. Adv. Sci. 2022, 9, 2202513. https://doi.org/10.1002/advs.202202513"
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCCCC(CN1C2=C(C3=C1C4=C(C5=C(N4CC(CCCCCCCCCC)CCCCCCCC)C6=C(C(CCCCCCCCC)=C(S6)/C=C7C(C8=CC(F)=C(C=C8C\7=C(C#N)\C#N)F)=O)S5)C9=NSN=C93)SC%10=C2SC(/C=C%11C(C%12=CC(/C=C/C(C=C%13C(C/%14=C\C%15=C(C%16=C(C%17=C(C%18=C(N%17CC(CCCCCCCCCC)CCCCCCCC)C%19=C(C%20=C(N%19CC(CCCCCCCCCC)CCCCCCCC)C%21=C(C(CCCCCCCCC)=C(S%21)/C=C%22C(C%23=CC(F)=C(C=C%23C\%22=C(C#N)/C#N)F)=O)S%20)C%24=NSN=C%24%18)S%16)S%15)CCCCCCCCC)=O)=CC=C%13C%14=C(C#N)\C#N)=CC=C%12C\%11=C(C#N)\C#N)=O)=C%10CCCCCCCCC)CCCCCCCC,EV-i,-5.77,-3.91,0.897,26.6,76.56,18.27,"H. Zhuo, X. Li, J. Zhang, S. Qin, J. Guo, R. Zhou, X. Jiang, X. Wu, Z. Chen, J. Li, L. Meng, Y. Li, Angew. Chem. Int. Ed. 2023, 62, e202303551."
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCCCC(CCCCCCCC)CN1C2=C(SC3=C2CC(/C=C2\C(=O)C4=C(C=CC(C5=CC=C(C6=CC7=C(C=C6)C(=C(C#N)C#N)/C(=C/C6=C(CC(CCCC)CCCCCC)C8=C(S6)C6=C(S8)C8=C(C9=C(C%10=NSN=C%108)C8=C(C%10=C(S8)C(CC(CCCC)CCCCCC)=C(/C=C8\C(=O)C%11=C(C=C(Cl)C(Cl)=C%11)C8=C(C#N)C#N)S%10)N9CC(CCCCCCCC)CCCCCCCCCC)N6CC(CCCCCCCC)CCCCCCCCCC)C7=O)S5)=C4)C2=C(C#N)C#N)=C3CC(CCCC)CC2=CC=C3C=C4C=CC(C)=CC4=CC3=C2)C2=C1C1=C(C3=NSN=C32)C2=C(C3=C(S2)C(CC(CCCC)CCCCCC)=C(/C=C2\C(=O)C4=C(C=C(Cl)C(Cl)=C4)C2=C(C#N)C#N)S3)N1CC(CCCCCCCC)CCCCCCCCCC,DYT,-5.64,-3.94,0.942,24.89,0.74,17.29,"LEE J-W, SUN C, PHAN T N-L, et al. Trimerized small-molecule acceptors enable high-performance organic solar cells with high open-circuit voltage and prolonged life-time [J]. Energy & Environmental Science, 2023, 16(8): 3339-3349."
