,donor,acceptor,Label
0,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCc1cccc(-c2c(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc3c2sc2c4c5nsnc5c5c6sc7c(C)c(/C=C8\C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)sc7c6n(CC(CC)CCCC)c5c4n(CC(CC)CCCC)c32)c1,17.43
1,CCCCCCCCCCC(CCCCCCCC)Cn1nc2c3cc(C)sc3c3sc(-c4cc5c(-c6cc(Cl)c(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(Cl)c(CC(CC)CCCC)s6)c5s4)cc3c2n1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(Cl)c(Cl)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)sc23)cc1,12.51
2,CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1c(-c3ccc(C)s3)sc(-c3ccc(C)s3)c1C2=O,CCCCCCOc1c2sc3c4sc(/C=C5\C(=O)c6ccc(F)cc6C5=C(C#N)C#N)cc4n(CC(CCCC)CCCCCC)c3c2c(OCCCCCC)c2sc3c4sc(/C=C5\C(=O)c6cc(F)ccc6C5=C(C#N)C#N)cc4n(CC(CCCC)CCCCCC)c3c12,10.71
3,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(-c5sc(-c6cc(CCC(C)CCCC(C)C)c(C)s6)c(C#N)c5C#N)cc4CCC(C)CCCC(C)C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,10.9
4,CCCCC(CC)COC(=O)c1cc(-c2cc3c(-c4ccc(CC(CC)CCCC)s4)c4sc(C)cc4c(-c4ccc(CC(CC)CCCC)s4)c3s2)sc1C,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cscc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)sc23)cc1,8.38
5,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3c4sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc4n(CC(CC)CCCC)c23)cc1,12.6
6,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCCCCCCCC1(CCCCCCCCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5cc6cc(Cl)ccc6cc5C4=C(C#N)C#N)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc2c(cc1-3)C(CCCCCCCCCCCC)(CCCCCCCCCCCC)c1cc(/C=C3\C(=O)c4cc5cc(Cl)ccc5cc4C3=C(C#N)C#N)sc1-2,12.63
7,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCCCCc1ccc(C2(c3ccc(CCCCCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)C7=C(C=CC8C(F)=CC(F)=CC78)C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCCCCC)cc2)(c2ccc(CCCCCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)C5=C(C=CC6C(F)=CC(F)=CC56)C4=C(C#N)C#N)sc23)cc1,10
8,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\SC(=S)N(C7CCCCC7)C6=O)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5\SC(=S)N(N6CCCCC6)C5=O)c5nsnc35)sc2-4)cc1,6.78
9,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nc(-c7cc(F)c(CC(CC)CCCC)s7)c(-c7cc(F)c(CC(CC)CCCC)s7)nc56)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CCC(CC)n1c(=O)c2ccc3c4c(-c5cc6c(=O)n(C(CC)CC)c(=O)c7cc8c9c(c5c5ccc%10c(=O)n(C(CC)CC)c(=O)c%11cc(c9c5c%10%11)n8Cc5c(F)c(F)c(F)c(F)c5F)c67)cc5c(=O)n(C(CC)CC)c(=O)c6cc7c(c4c56)c4c3c2c(cc4n7Cc2c(F)c(F)c(F)c(F)c2F)c1=O,5.5
